T(P=0.1MPa),V(P=0.1MPa),T(P=10MPa),V(P=10MPa),T(P=500MPa),V(P=500MPa)
1729.5,7.982,1729.5,0.080018,1729.5,0.0021961
1732.3,7.9953,1732.3,0.080153,1732.3,0.0021992
1735.2,8.0085,1735.2,0.080288,1735.2,0.0022024
1738.1,8.0218,1738.1,0.080423,1738.1,0.0022056
1741,8.0351,1741,0.080558,1741,0.0022088
1743.9,8.0484,1743.9,0.080693,1743.9,0.002212
1746.7,8.0617,1746.7,0.080828,1746.7,0.0022151
1749.6,8.075,1749.6,0.080963,1749.6,0.0022183
1752.5,8.0883,1752.5,0.081097,1752.5,0.0022215
1755.4,8.1015,1755.4,0.081232,1755.4,0.0022246
1758.2,8.1148,1758.2,0.081367,1758.2,0.0022278
1761.1,8.1281,1761.1,0.081502,1761.1,0.002231
1764,8.1414,1764,0.081637,1764,0.0022342
1766.9,8.1547,1766.9,0.081772,1766.9,0.0022373
1769.8,8.168,1769.8,0.081907,1769.8,0.0022405
1772.6,8.1812,1772.6,0.082042,1772.6,0.0022436
1775.5,8.1945,1775.5,0.082176,1775.5,0.0022468
1778.4,8.2078,1778.4,0.082311,1778.4,0.00225
1781.3,8.2211,1781.3,0.082446,1781.3,0.0022531
1784.1,8.2344,1784.1,0.082581,1784.1,0.0022563
1787,8.2477,1787,0.082716,1787,0.0022594
1789.9,8.261,1789.9,0.08285,1789.9,0.0022626
1792.8,8.2742,1792.8,0.082985,1792.8,0.0022657
1795.7,8.2875,1795.7,0.08312,1795.7,0.0022689
1798.5,8.3008,1798.5,0.083255,1798.5,0.002272
1801.4,8.3141,1801.4,0.083389,1801.4,0.0022752
1804.3,8.3274,1804.3,0.083524,1804.3,0.0022783
1807.2,8.3407,1807.2,0.083659,1807.2,0.0022814
1810,8.3539,1810,0.083794,1810,0.0022846
1812.9,8.3672,1812.9,0.083928,1812.9,0.0022877
1815.8,8.3805,1815.8,0.084063,1815.8,0.0022909
1818.7,8.3938,1818.7,0.084198,1818.7,0.002294
1821.6,8.4071,1821.6,0.084332,1821.6,0.0022971
1824.4,8.4204,1824.4,0.084467,1824.4,0.0023003
1827.3,8.4337,1827.3,0.084602,1827.3,0.0023034
1830.2,8.4469,1830.2,0.084736,1830.2,0.0023065
1833.1,8.4602,1833.1,0.084871,1833.1,0.0023096
1836,8.4735,1836,0.085006,1836,0.0023128
1838.8,8.4868,1838.8,0.08514,1838.8,0.0023159
1841.7,8.5001,1841.7,0.085275,1841.7,0.002319
1844.6,8.5134,1844.6,0.085409,1844.6,0.0023221
1847.5,8.5266,1847.5,0.085544,1847.5,0.0023253
1850.3,8.5399,1850.3,0.085679,1850.3,0.0023284
1853.2,8.5532,1853.2,0.085813,1853.2,0.0023315
1856.1,8.5665,1856.1,0.085948,1856.1,0.0023346
1859,8.5798,1859,0.086082,1859,0.0023377
1861.9,8.5931,1861.9,0.086217,1861.9,0.0023408
1864.7,8.6064,1864.7,0.086351,1864.7,0.002344
1867.6,8.6196,1867.6,0.086486,1867.6,0.0023471
1870.5,8.6329,1870.5,0.08662,1870.5,0.0023502
1873.4,8.6462,1873.4,0.086755,1873.4,0.0023533
1876.2,8.6595,1876.2,0.086889,1876.2,0.0023564
1879.1,8.6728,1879.1,0.087024,1879.1,0.0023595
1882,8.6861,1882,0.087158,1882,0.0023626
1884.9,8.6993,1884.9,0.087293,1884.9,0.0023657
1887.8,8.7126,1887.8,0.087427,1887.8,0.0023688
1890.6,8.7259,1890.6,0.087562,1890.6,0.0023719
1893.5,8.7392,1893.5,0.087696,1893.5,0.002375
1896.4,8.7525,1896.4,0.087831,1896.4,0.0023781
1899.3,8.7658,1899.3,0.087965,1899.3,0.0023812
1902.1,8.7791,1902.1,0.0881,1902.1,0.0023843
1905,8.7923,1905,0.088234,1905,0.0023874
1907.9,8.8056,1907.9,0.088368,1907.9,0.0023904
1910.8,8.8189,1910.8,0.088503,1910.8,0.0023935
1913.7,8.8322,1913.7,0.088637,1913.7,0.0023966
1916.5,8.8455,1916.5,0.088772,1916.5,0.0023997
1919.4,8.8588,1919.4,0.088906,1919.4,0.0024028
1922.3,8.872,1922.3,0.08904,1922.3,0.0024059
1925.2,8.8853,1925.2,0.089175,1925.2,0.002409
1928,8.8986,1928,0.089309,1928,0.002412
1930.9,8.9119,1930.9,0.089443,1930.9,0.0024151
1933.8,8.9252,1933.8,0.089578,1933.8,0.0024182
1936.7,8.9385,1936.7,0.089712,1936.7,0.0024213
1939.6,8.9518,1939.6,0.089846,1939.6,0.0024243
1942.4,8.965,1942.4,0.089981,1942.4,0.0024274
1945.3,8.9783,1945.3,0.090115,1945.3,0.0024305
1948.2,8.9916,1948.2,0.090249,1948.2,0.0024336
1951.1,9.0049,1951.1,0.090384,1951.1,0.0024366
1954,9.0182,1954,0.090518,1954,0.0024397
1956.8,9.0315,1956.8,0.090652,1956.8,0.0024428
1959.7,9.0447,1959.7,0.090787,1959.7,0.0024458
1962.6,9.058,1962.6,0.090921,1962.6,0.0024489
1965.5,9.0713,1965.5,0.091055,1965.5,0.0024519
1968.3,9.0846,1968.3,0.091189,1968.3,0.002455
1971.2,9.0979,1971.2,0.091324,1971.2,0.0024581
1974.1,9.1112,1974.1,0.091458,1974.1,0.0024611
1977,9.1244,1977,0.091592,1977,0.0024642
1979.9,9.1377,1979.9,0.091726,1979.9,0.0024672
1982.7,9.151,1982.7,0.091861,1982.7,0.0024703
1985.6,9.1643,1985.6,0.091995,1985.6,0.0024733
1988.5,9.1776,1988.5,0.092129,1988.5,0.0024764
1991.4,9.1909,1991.4,0.092263,1991.4,0.0024794
1994.2,9.2042,1994.2,0.092397,1994.2,0.0024825
1997.1,9.2174,1997.1,0.092532,1997.1,0.0024794
2000,9.2307,2000,0.092666,2000,0.0024825
